contestacao_id,pedido_id,data_pedido,mes,cliente_hash,loja_id,cidade,categoria_loja,motivo,relato_cliente,relato_ausente,itens_pedido,itens_contestados,percentual_itens_contestados,selecao_completa,foto_anexada,idade_conta_dias,contestacoes_60d,recorrencia_alta,evidencia_incompativel,cluster_conta,conta_relacionada,status_resposta_loja,sem_resposta_loja,rota_decisao,decisao_final,valor_pedido,valor_reembolso,valor_alto,score_regra,faixa_risco,exposicao_confirmada,exposicao_potencial
CON00007,PED003697,2025-01-01,2025-01,anon_5e6a5c8324,LOJ0359,São Paulo,Restaurante,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,2,2,1.0,1,1,752,0,0,0,,0,sem_resposta,1,autoaprovada,aprovada,106.47,90.72,0,33,alto,0,0.0
CON00020,PED006988,2025-01-01,2025-01,anon_fd059e4cca,LOJ0082,Campinas,Farmácia,qualidade,A qualidade não correspondeu ao que foi anunciado.,0,7,7,1.0,1,0,673,1,0,0,,0,respondida,0,autoaprovada,aprovada,67.56,49.06,0,25,intermediario,1,49.06
CON00039,PED001267,2025-01-01,2025-01,anon_35b405417a,LOJ0352,Santos,Mercado,produto_avariado,A embalagem chegou aberta e o produto estava avariado.,0,4,4,1.0,1,0,1388,1,0,0,,0,sem_resposta,1,negada_ou_retirada,retirada,57.54,0.0,0,41,alto,0,0.0
CON00055,PED002754,2025-01-01,2025-01,anon_73782f11b0,LOJ0269,Campinas,Mercado,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,0,7,4,0.5714285714285714,0,0,1873,1,0,0,,0,sem_resposta,1,autoaprovada,aprovada,109.25,73.69,0,16,intermediario,0,0.0
CON00062,PED000441,2025-01-01,2025-01,anon_d371469eaa,LOJ0404,Sorocaba,Restaurante,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,0,5,2,0.4,0,1,465,0,0,1,,0,sem_resposta,1,autoaprovada,aprovada,58.46,24.79,0,30,intermediario,0,0.0
CON00069,PED008277,2025-01-01,2025-01,anon_ed0959e5e2,LOJ0043,São Paulo,Mercado,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,6,2,0.3333333333333333,0,0,2107,1,0,0,,0,respondida,0,negada_ou_retirada,negada,99.5,0.0,0,0,baixo,0,0.0
CON00097,PED001643,2025-01-01,2025-01,anon_a7695e012c,LOJ0390,Campinas,Pet Shop,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,6,4,0.6666666666666666,0,0,27,2,0,0,,0,respondida,0,revisao_manual,negada,89.77,0.0,0,0,baixo,0,0.0
CON00181,PED003579,2025-01-01,2025-01,anon_b0a02f9994,LOJ0320,Campinas,Pet Shop,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,0,3,3,1.0,1,1,70,1,0,0,,0,sem_resposta,1,autoaprovada,aprovada,98.47,78.28,0,33,alto,1,78.28
CON00255,PED008352,2025-01-01,2025-01,anon_d8a41d15b5,LOJ0349,Campinas,Restaurante,nao_entregue,"Consta entrega concluída, porém nada foi recebido.",0,4,1,0.25,0,1,2308,0,0,0,,0,sem_resposta,1,autoaprovada,aprovada,50.26,24.69,0,8,baixo,0,0.0
CON00276,PED004513,2025-01-01,2025-01,anon_96660c797f,LOJ0442,São Paulo,Restaurante,nao_entregue,"Consta entrega concluída, porém nada foi recebido.",0,6,6,1.0,1,1,321,2,0,0,,0,sem_resposta,1,revisao_manual,aprovada,132.21,106.63,1,41,alto,0,0.0
CON00341,PED001898,2025-01-01,2025-01,anon_710340b5b5,LOJ0169,São Paulo,Restaurante,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,4,1,0.25,0,1,2343,1,0,0,,0,sem_resposta,1,autoaprovada,aprovada,121.81,94.44,0,8,baixo,0,0.0
CON00356,PED005248,2025-01-01,2025-01,anon_873d4ad142,LOJ0346,Campinas,Farmácia,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,3,1,0.3333333333333333,0,1,1876,1,0,1,,0,respondida,0,autoaprovada,aprovada,100.85,63.04,0,14,baixo,1,63.04
CON00384,PED009013,2025-01-01,2025-01,anon_daf7d39c8a,LOJ0327,São Paulo,Restaurante,item_faltante,Não recebi todos os itens que estavam na nota.,0,6,4,0.6666666666666666,0,1,742,1,0,1,,0,respondida,0,negada_ou_retirada,negada,68.13,0.0,0,14,baixo,0,0.0
CON00400,PED007782,2025-01-01,2025-01,anon_c9abf87cf9,LOJ0203,Campinas,Restaurante,nao_entregue,O pedido não chegou no endereço informado.,0,7,7,1.0,1,1,1357,0,0,0,,0,respondida,0,autoaprovada,aprovada,106.05,82.63,0,17,intermediario,0,0.0
CON00410,PED005285,2025-01-01,2025-01,anon_e89e3f4d79,LOJ0411,Campinas,Restaurante,qualidade,A comida chegou fria e com qualidade abaixo do esperado.,0,3,1,0.3333333333333333,0,0,1025,0,0,0,,0,respondida,0,autoaprovada,aprovada,58.03,23.67,0,0,baixo,0,0.0
CON00483,PED001276,2025-01-01,2025-01,anon_0daf795eda,LOJ0182,Santos,Restaurante,produto_avariado,A embalagem chegou aberta e o produto estava avariado.,0,2,1,0.5,0,0,1278,1,0,1,,0,respondida,0,autoaprovada,aprovada,100.36,67.94,0,22,intermediario,0,0.0
CON00499,PED009031,2025-01-01,2025-01,anon_fbac607256,LOJ0167,São Paulo,Farmácia,nao_entregue,"Consta entrega concluída, porém nada foi recebido.",0,3,2,0.6666666666666666,0,1,2380,2,0,0,,0,respondida,0,autoaprovada,aprovada,121.45,110.83,1,0,baixo,0,0.0
CON00571,PED001685,2025-01-01,2025-01,anon_a2bf29f4e5,LOJ0248,Sorocaba,Restaurante,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,2,1,0.5,0,0,2378,0,0,0,,0,respondida,0,revisao_manual,negada,47.16,0.0,0,0,baixo,0,0.0
CON00653,PED007041,2025-01-01,2025-01,anon_647db3bd18,LOJ0246,Campinas,Restaurante,qualidade,O produto estava com aparência ruim quando chegou.,0,5,5,1.0,1,1,2375,1,0,0,,0,sem_resposta,1,autoaprovada,aprovada,54.11,29.53,0,33,alto,0,0.0
CON00671,PED003240,2025-01-01,2025-01,anon_540ecf9237,LOJ0060,São Paulo,Farmácia,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",0,2,1,0.5,0,1,2394,1,0,0,,0,sem_resposta,1,negada_ou_retirada,retirada,98.86,0.0,0,8,baixo,0,0.0
CON00028,PED004299,2025-01-02,2025-01,anon_434dccf345,LOJ0106,Sorocaba,Restaurante,nao_entregue,"Consta entrega concluída, porém nada foi recebido.",0,3,2,0.6666666666666666,0,1,1905,0,0,0,,0,sem_resposta,1,autoaprovada,aprovada,132.73,94.73,0,8,baixo,1,94.73
CON00074,PED007571,2025-01-02,2025-01,anon_ec093f8ea0,LOJ0038,São Paulo,Restaurante,pedido_incorreto,Recebi produtos diferentes do que selecionei.,0,5,1,0.2,0,1,2075,1,0,0,,0,respondida,0,revisao_manual,negada,67.5,0.0,0,-8,baixo,0,0.0
CON00105,PED002166,2025-01-02,2025-01,anon_679714a92a,LOJ0328,São Paulo,Restaurante,produto_avariado,O produto chegou danificado dentro da sacola.,0,7,7,1.0,1,1,2160,0,0,0,,0,respondida,0,autoaprovada,aprovada,98.85,65.28,0,17,intermediario,1,65.28
CON00145,PED005113,2025-01-02,2025-01,anon_ea5fb3b2b1,LOJ0120,São Paulo,Restaurante,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,0,7,4,0.5714285714285714,0,1,397,0,0,0,,0,respondida,0,autoaprovada,aprovada,68.99,64.59,0,-8,baixo,0,0.0
CON00153,PED000503,2025-01-02,2025-01,anon_f23f32a84c,LOJ0060,Santos,Mercado,pedido_incorreto,Recebi produtos diferentes do que selecionei.,0,4,3,0.75,0,1,1934,2,0,0,,0,respondida,0,revisao_manual,negada,63.5,0.0,0,-8,baixo,0,0.0
CON00186,PED000653,2025-01-02,2025-01,anon_30ec7f8168,LOJ0067,Campinas,Mercado,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,4,2,0.5,0,0,963,1,0,0,,0,sem_resposta,1,autoaprovada,aprovada,140.53,71.27,0,16,intermediario,0,0.0
CON00233,PED003762,2025-01-02,2025-01,anon_60e61070e8,LOJ0357,São Paulo,Restaurante,nao_entregue,O pedido não chegou no endereço informado.,0,6,4,0.6666666666666666,0,1,1718,0,0,0,,0,respondida,0,autoaprovada,aprovada,175.19,72.2,0,-8,baixo,0,0.0
CON00242,PED006830,2025-01-02,2025-01,anon_27a6e8efc1,LOJ0236,Campinas,Restaurante,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,0,3,3,1.0,1,1,423,2,0,0,,0,sem_resposta,1,negada_ou_retirada,negada,74.84,0.0,0,33,alto,0,0.0
CON00278,PED000404,2025-01-02,2025-01,anon_620565d0fc,LOJ0044,São Paulo,Pet Shop,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,3,3,1.0,1,1,497,0,0,1,,0,respondida,0,autoaprovada,aprovada,96.88,84.16,0,39,alto,1,84.16
CON00280,PED005648,2025-01-02,2025-01,anon_24331debbd,LOJ0098,Sorocaba,Mercado,produto_avariado,O produto chegou danificado dentro da sacola.,0,7,7,1.0,1,1,1686,0,0,0,,0,respondida,0,autoaprovada,aprovada,172.09,136.35,1,25,intermediario,0,0.0
CON00286,PED004641,2025-01-02,2025-01,anon_a59837d885,LOJ0030,São Paulo,Mercado,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",0,3,2,0.6666666666666666,0,0,86,1,0,1,,0,respondida,0,autoaprovada,aprovada,95.27,62.5,0,22,intermediario,0,0.0
CON00363,PED007893,2025-01-02,2025-01,anon_eff043cd68,LOJ0296,Santos,Restaurante,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",0,7,1,0.14285714285714285,0,0,409,0,0,0,,0,respondida,0,revisao_manual,aprovada,75.49,44.07,0,0,baixo,0,0.0
CON00378,PED000782,2025-01-02,2025-01,anon_1c7e179113,LOJ0205,São Paulo,Restaurante,item_faltante,Não recebi todos os itens que estavam na nota.,0,5,4,0.8,0,1,907,0,0,0,,0,respondida,0,revisao_manual,aprovada,79.49,56.23,0,-8,baixo,0,0.0
CON00386,PED002033,2025-01-02,2025-01,anon_a03ccc70a5,LOJ0424,São Paulo,Restaurante,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,4,1,0.25,0,1,1927,1,0,0,,0,respondida,0,autoaprovada,aprovada,103.55,67.24,0,-8,baixo,0,0.0
CON00405,PED005341,2025-01-02,2025-01,anon_2f2c5e7c40,LOJ0342,São Paulo,Restaurante,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,6,5,0.8333333333333334,0,1,429,0,0,1,,0,respondida,0,autoaprovada,aprovada,113.22,60.4,0,14,baixo,1,60.4
CON00450,PED007048,2025-01-02,2025-01,anon_56891af7f5,LOJ0018,Campinas,Restaurante,pedido_incorreto,Recebi produtos diferentes do que selecionei.,0,6,6,1.0,1,1,1840,0,0,0,,0,sem_resposta,1,negada_ou_retirada,negada,143.55,0.0,0,33,alto,0,0.0
CON00468,PED007866,2025-01-02,2025-01,anon_c77563a493,LOJ0158,Santos,Restaurante,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,2,1,0.5,0,1,1111,0,0,0,,0,respondida,0,autoaprovada,aprovada,60.68,33.46,0,-8,baixo,0,0.0
CON00556,PED004202,2025-01-02,2025-01,anon_79a612cdc6,LOJ0050,São Paulo,Restaurante,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,4,1,0.25,0,0,1663,0,0,1,,0,sem_resposta,1,autoaprovada,aprovada,99.83,61.9,0,38,alto,0,0.0
CON00559,PED002525,2025-01-02,2025-01,anon_7f52f4af0a,LOJ0097,São Paulo,Restaurante,item_faltante,Não recebi todos os itens que estavam na nota.,0,4,3,0.75,0,0,201,0,0,1,,0,respondida,0,autoaprovada,aprovada,111.09,102.41,1,30,intermediario,0,0.0
CON00596,PED005024,2025-01-02,2025-01,anon_6d173e0275,LOJ0171,Campinas,Farmácia,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",0,3,2,0.6666666666666666,0,0,661,2,0,0,,0,respondida,0,autoaprovada,aprovada,100.59,49.61,0,0,baixo,0,0.0
