contestacao_id,pedido_id,data_pedido,cliente_id,loja_id,itens_pedido,valor_pedido,motivo,relato_cliente,foto_anexada,idade_conta_dias,contestacoes_60d,itens_contestados,evidencia_incompativel,cluster_conta,status_resposta_loja,rota_decisao,decisao_final,valor_reembolso,exposicao_confirmada
CON00001,PED003865,15/01/2025,CLI05299,LOJ0060,4,"R$ 150,15",PRODUTO AVARIADO,,1,1714,0,4,0,,SEM RESPOSTA,autoaprovada,aprovada,139.24,1
CON00002,PED008053,2025-01-17,CLI08762,LOJ0423,2,135.95,nao_entregue,"Consta entrega concluída, porém nada foi recebido.",1,2148,0,1,0,,respondida,autoaprovada,aprovada,56.72,0
CON00003,PED001634,2025-01-15,CLI08314,LOJ0113,6,111.00,item_faltante,Faltou um item do pedido e a loja não respondeu.,1,1633,0,1,0,,respondida,revisao_manual,aprovada,20.42,0
CON00004,PED003788,2025-01-15,CLI14391,LOJ0310,7,124.69,produto_avariado,O produto chegou danificado dentro da sacola.,1,902,0,7,0,,sem resposta,autoaprovada,aprovada,93.76,0
CON00005,PED004089,2025-01-05,CLI10657,LOJ0142,7,86.73,qualidade,O produto estava com aparência ruim quando chegou.,0,1133,1,6,0,,respondida,autoaprovada,aprovada,"55,25",0
CON00006,PED003837,2025-01-04,CLI10259,LOJ0415,3,99.40,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",1,2216,1,1,0,,respondida,autoaprovada,aprovada,20.58,0
CON00007,PED003697,01/01/2025,CLI05077,LOJ0359,2,106.47,pedido_incorreto,Entregaram outro item no lugar do que comprei.,1,752,0,2,0,,SEM RESPOSTA,autoaprovada,aprovada,90.72,0
CON00008,PED005331,2025-01-22,CLI09206,LOJ0321,7,"161,17",item_faltante,Não recebi todos os itens que estavam na nota.,1,2359,0,6,1,,respondida,autoaprovada,aprovada,128.10,0
CON00009,PED003215,2025-01-22,CLI06421,LOJ0300,2,81.71,produto_avariado,O produto chegou danificado dentro da sacola.,0,1362,5,1,0,,respondida,autoaprovada,aprovada,"R$ 66,32",0
CON00010,PED007264,2025-01-04,CLI11772,LOJ0258,5,74.54,nao_entregue,"O aplicativo marcou como entregue, mas não recebi o pedido.",0,1536,0,3,0,,sem_resposta,autoaprovada,aprovada,67.14,0
CON00011,PED001579,2025-01-29,CLI06010,LOJ0263,7,85.13,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",1,483,1,3,0,,respondida,autoaprovada,aprovada,50.86,0
CON00012,PED006887,2025-01-19,CLI10044,LOJ0054,2,"R$ 78,12",pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,1,1737,2,1,0,,respondida,autoaprovada,aprovada,"43,61",0
CON00013,PED006047,14/01/2025,CLI04728,LOJ0124,6,60.64,produto_avariado,O item vazou durante a entrega e não dava para consumir.,1,1648,0,1,0,,respondida,autoaprovada,aprovada,51.20,0
CON00014,PED005618,2025-01-14,CLI16764,LOJ0023,4,34.42,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,0,2393,1,2,0,,sem resposta,negada_ou_retirada,negada,0.00,0
CON00015,PED004857,2025-01-27,CLI03611,LOJ0122,6,"69,53",nao_entregue,O pedido não chegou no endereço informado.,1,2361,1,4,0,GRP098,respondida,autoaprovada,aprovada,61.97,1
CON00016,PED004677,2025-01-26,CLI11013,LOJ0064,7,56.67,produto_avariado,O produto chegou danificado dentro da sacola.,1,22,1,2,0,,respondida,autoaprovada,aprovada,43.53,0
CON00017,PED007234,2025-01-10,CLI07825,LOJ0220,2,64.83,pedido_incorreto,Recebi produtos diferentes do que selecionei.,0,2272,0,1,0,,sem_resposta,autoaprovada,aprovada,53.39,1
CON00018,PED009136,2025-01-03,CLI14800,LOJ0140,5,86.18,pedido_incorreto,Recebi produtos diferentes do que selecionei.,0,2328,0,2,0,,respondida,autoaprovada,aprovada,68.82,0
CON00019,PED000763,29/01/2025,CLI00817,LOJ0423,2,90.72,item_faltante,Faltou um item do pedido e a loja não respondeu.,1,819,0,1,0,,SEM RESPOSTA,autoaprovada,aprovada,"79,85",0
CON00020,PED006988,2025-01-01,CLI01423,LOJ0082,7,67.56,qualidade,A qualidade não correspondeu ao que foi anunciado.,0,673,1,7,0,,respondida,autoaprovada,aprovada,"R$ 49,06",1
CON00021,PED000960,2025-01-26,CLI14865,LOJ0211,6,89.11,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",1,636,3,4,0,,respondida,autoaprovada,aprovada,57.48,0
CON00022,PED005221,2025-01-22,CLI13452,LOJ0300,4,"75,51",item_faltante,Não recebi todos os itens que estavam na nota.,1,1094,1,1,0,,respondida,revisao_manual,aprovada,60.97,0
CON00023,PED008058,2025-01-22,CLI08271,LOJ0317,5,"R$ 96,67",qualidade,O produto estava com aparência ruim quando chegou.,1,1718,1,3,0,GRP100,respondida,autoaprovada,aprovada,89.65,0
CON00024,PED003480,2025-01-21,CLI04685,LOJ0044,2,44.74,PRODUTO AVARIADO,A embalagem chegou aberta e o produto estava avariado.,1,1306,1,1,0,,respondida,negada_ou_retirada,retirada,0.00,0
CON00025,PED004184,14/01/2025,CLI05256,LOJ0228,5,114.68,nao_entregue,"Consta entrega concluída, porém nada foi recebido.",1,2270,0,3,0,,respondida,autoaprovada,aprovada,104.53,0
CON00026,PED008912,2025-01-12,CLI13396,LOJ0405,4,224.62,item_faltante,Faltou um item do pedido e a loja não respondeu.,1,1868,0,4,0,,sem resposta,autoaprovada,aprovada,"200,57",1
CON00027,PED007289,2025-01-13,CLI17369,LOJ0100,6,60.28,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",1,259,1,6,0,,respondida,autoaprovada,aprovada,23.30,0
CON00028,PED004299,2025-01-02,CLI01721,LOJ0106,3,132.73,nao_entregue,"Consta entrega concluída, porém nada foi recebido.",1,1905,0,2,0,,SEM RESPOSTA,autoaprovada,aprovada,94.73,1
CON00029,PED002663,2025-01-23,CLI03682,LOJ0370,7,"80,31",produto_avariado,A embalagem chegou aberta e o produto estava avariado.,0,924,1,7,0,,respondida,autoaprovada,aprovada,50.38,0
CON00030,PED006720,2025-01-21,CLI11952,LOJ0442,6,74.37,nao_entregue,O pedido não chegou no endereço informado.,1,1981,0,1,0,,sem_resposta,autoaprovada,aprovada,57.29,0
CON00031,PED002262,28/01/2025,CLI11317,LOJ0076,6,163.64,produto_avariado,O produto chegou danificado dentro da sacola.,1,1466,0,2,0,,sem resposta,autoaprovada,aprovada,"R$ 52,78",0
CON00032,PED000237,2025-01-11,CLI00822,LOJ0224,2,65.26,qualidade,A comida chegou fria e com qualidade abaixo do esperado.,1,113,1,1,0,,sem_resposta,autoaprovada,aprovada,40.78,0
CON00033,PED001483,2025-01-18,CLI13281,LOJ0269,6,41.11,nao_entregue,O pedido não chegou no endereço informado.,0,687,1,1,0,,SEM RESPOSTA,negada_ou_retirada,negada,"0,00",0
CON00034,PED005736,2025-01-07,CLI17342,LOJ0215,5,"R$ 98,25",produto_avariado,A embalagem chegou aberta e o produto estava avariado.,0,286,1,1,0,,sem resposta,autoaprovada,aprovada,51.86,0
CON00035,PED005904,2025-01-14,CLI02388,LOJ0160,7,124.50,pedido_incorreto,Entregaram outro item no lugar do que comprei.,1,757,2,2,0,,SEM RESPOSTA,autoaprovada,aprovada,93.84,1
CON00036,PED004002,2025-01-19,CLI17930,LOJ0159,4,"124,90",item_faltante,Não recebi todos os itens que estavam na nota.,1,1958,1,1,0,,sem_resposta,autoaprovada,aprovada,65.23,0
CON00037,PED001539,07/01/2025,CLI03129,LOJ0331,5,138.99,qualidade,A comida chegou fria e com qualidade abaixo do esperado.,1,13,4,5,0,GRP070,respondida,autoaprovada,aprovada,50.93,1
CON00038,PED003681,2025-01-29,CLI16894,LOJ0372,2,84.55,qualidade,A comida chegou fria e com qualidade abaixo do esperado.,1,1416,0,1,0,,respondida,autoaprovada,aprovada,49.55,0
CON00039,PED001267,2025-01-01,CLI02601,LOJ0352,4,57.54,produto_avariado,A embalagem chegou aberta e o produto estava avariado.,0,1388,1,4,0,,sem resposta,negada_ou_retirada,retirada,0.00,0
CON00040,PED001851,2025-01-26,CLI13235,LOJ0244,6,116.81,item_faltante,Faltou um item do pedido e a loja não respondeu.,1,916,0,5,1,,respondida,autoaprovada,aprovada,"109,13",0
CON00041,PED003720,2025-01-24,CLI04170,LOJ0188,7,47.62,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,2119,0,6,0,,sem_resposta,autoaprovada,aprovada,36.41,0
CON00042,PED001429,2025-01-14,CLI13801,LOJ0240,2,74.72,item_faltante,Faltou um item do pedido e a loja não respondeu.,1,1214,1,1,0,GRP020,respondida,negada_ou_retirada,retirada,"R$ 0,00",0
CON00043,PED008720,24/01/2025,CLI01368,LOJ0050,4,"100,16",qualidade,A qualidade não correspondeu ao que foi anunciado.,1,999,0,3,0,GRP032,SEM RESPOSTA,autoaprovada,aprovada,53.93,0
CON00044,PED000603,2025-01-17,CLI00218,LOJ0217,6,63.84,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,1,360,2,5,1,,respondida,autoaprovada,aprovada,34.13,0
CON00045,PED000660,2025-01-21,CLI06019,LOJ0067,2,"R$ 134,72",item_faltante,Faltou um item do pedido e a loja não respondeu.,1,469,1,2,1,,respondida,autoaprovada,aprovada,107.01,0
CON00046,PED007157,2025-01-16,CLI00870,LOJ0035,2,82.13,item_faltante,Não recebi todos os itens que estavam na nota.,1,1716,5,1,0,,respondida,autoaprovada,aprovada,58.50,0
CON00047,PED002497,2025-01-16,CLI15391,LOJ0412,7,101.74,ITEM FALTANTE,Faltou um item do pedido e a loja não respondeu.,1,274,1,7,0,,sem resposta,autoaprovada,aprovada,"88,66",0
CON00048,PED000949,2025-01-22,CLI02739,LOJ0268,2,118.85,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,520,2,1,0,,respondida,autoaprovada,aprovada,93.16,0
CON00049,PED005923,18/01/2025,CLI08411,LOJ0110,3,75.48,item_faltante,Faltou um item do pedido e a loja não respondeu.,1,935,0,1,0,,respondida,negada_ou_retirada,negada,0.00,0
CON00050,PED000923,2025-01-12,CLI00837,LOJ0046,2,"67,96",item_faltante,Faltou um item do pedido e a loja não respondeu.,1,141,0,1,0,GRP073,SEM RESPOSTA,autoaprovada,aprovada,33.00,0
CON00051,PED004174,2025-01-29,CLI03504,LOJ0089,2,138.52,nao_entregue,O pedido não chegou no endereço informado.,1,1350,2,1,1,,respondida,autoaprovada,aprovada,33.63,0
CON00052,PED006911,2025-01-26,CLI01084,LOJ0035,4,76.02,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,1,273,1,1,0,,respondida,revisao_manual,negada,0.00,0
CON00053,PED005794,2025-01-27,CLI16125,LOJ0187,2,234.05,pedido_incorreto,Recebi produtos diferentes do que selecionei.,1,398,2,1,0,,respondida,autoaprovada,aprovada,"R$ 124,01",1
CON00054,PED008542,2025-01-12,CLI13363,LOJ0230,7,159.21,pedido_incorreto,Recebi produtos diferentes do que selecionei.,1,87,2,7,0,,respondida,negada_ou_retirada,negada,"0,00",0
CON00055,PED002754,01/01/2025,CLI08246,LOJ0269,7,109.25,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,0,1873,1,4,0,,sem_resposta,autoaprovada,aprovada,73.69,0
CON00056,PED008624,2025-01-03,CLI17899,LOJ0211,2,"R$ 162,40",qualidade,O produto estava com aparência ruim quando chegou.,1,884,2,1,0,GRP074,respondida,revisao_manual,negada,0.00,0
CON00057,PED007033,2025-01-04,CLI07016,LOJ0150,2,"91,09",nao_entregue,O pedido não chegou no endereço informado.,1,2252,2,1,0,,sem resposta,revisao_manual,negada,0.00,0
CON00058,PED007838,2025-01-19,CLI12699,LOJ0351,6,79.51,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,1622,0,2,0,,respondida,autoaprovada,aprovada,50.85,1
CON00059,PED003438,2025-01-09,CLI04718,LOJ0143,2,208.37,qualidade,O produto estava com aparência ruim quando chegou.,1,126,0,1,0,,respondida,autoaprovada,aprovada,192.61,1
CON00060,PED008302,2025-01-17,CLI12539,LOJ0379,5,137.59,nao_entregue,"Consta entrega concluída, porém nada foi recebido.",1,185,1,2,0,,respondida,autoaprovada,aprovada,110.02,0
CON00061,PED004261,12/01/2025,CLI00556,LOJ0096,6,142.01,produto_avariado,O item vazou durante a entrega e não dava para consumir.,0,1742,0,3,0,,respondida,autoaprovada,aprovada,"64,29",0
CON00062,PED000441,2025-01-01,CLI12942,LOJ0404,5,58.46,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,1,465,0,2,1,,sem_resposta,autoaprovada,aprovada,24.79,0
CON00063,PED007121,2025-01-27,CLI13117,LOJ0025,5,97.01,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,1,1353,0,3,1,,SEM RESPOSTA,autoaprovada,aprovada,45.61,1
CON00064,PED007585,2025-01-07,CLI11282,LOJ0381,6,"89,54",pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,1,820,0,4,1,,respondida,autoaprovada,aprovada,"R$ 39,01",1
CON00065,PED001962,2025-01-20,CLI17283,LOJ0438,3,136.33,item_faltante,Não recebi todos os itens que estavam na nota.,1,1340,0,1,0,GRP003,respondida,autoaprovada,aprovada,121.69,1
CON00066,PED007697,2025-01-29,CLI16878,LOJ0169,3,73.36,produto_avariado,A embalagem chegou aberta e o produto estava avariado.,1,2298,2,1,1,,respondida,negada_ou_retirada,retirada,0.00,0
CON00067,PED001385,12/01/2025,CLI10344,LOJ0136,5,"R$ 96,66",item_faltante,Faltou um item do pedido e a loja não respondeu.,0,450,0,1,0,,respondida,autoaprovada,aprovada,73.42,0
CON00068,PED005812,2025-01-29,CLI14897,LOJ0304,2,45.60,item_faltante,Faltou um item do pedido e a loja não respondeu.,1,297,1,1,1,,respondida,revisao_manual,negada,"0,00",0
CON00069,PED008277,2025-01-01,CLI04149,LOJ0043,6,99.50,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,2107,1,2,0,,respondida,negada_ou_retirada,negada,0.00,0
CON00070,PED005002,2025-01-30,CLI10336,LOJ0328,2,61.45,ITEM FALTANTE,"O pedido chegou incompleto, faltou parte da compra.",1,1626,0,1,0,,sem resposta,negada_ou_retirada,retirada,0.00,0
CON00071,PED006203,2025-01-19,CLI09262,LOJ0116,3,"125,32",item_faltante,Faltou um item do pedido e a loja não respondeu.,1,143,1,2,0,,respondida,autoaprovada,aprovada,107.64,0
CON00072,PED003184,2025-01-28,CLI14281,LOJ0308,5,93.23,pedido_incorreto,Recebi produtos diferentes do que selecionei.,0,2001,0,2,0,,SEM RESPOSTA,autoaprovada,aprovada,59.23,0
CON00073,PED005238,04/01/2025,CLI06865,LOJ0395,4,180.04,pedido_incorreto,Recebi produtos diferentes do que selecionei.,1,284,1,4,0,,respondida,autoaprovada,aprovada,44.37,0
CON00074,PED007571,2025-01-02,CLI05465,LOJ0038,5,67.50,pedido_incorreto,Recebi produtos diferentes do que selecionei.,1,2075,1,1,0,,respondida,revisao_manual,negada,0.00,0
CON00075,PED001680,2025-01-05,CLI03506,LOJ0390,3,111.19,produto_avariado,O item vazou durante a entrega e não dava para consumir.,0,1728,2,3,0,,sem_resposta,revisao_manual,aprovada,"R$ 50,61",1
CON00076,PED001952,2025-01-26,CLI05551,LOJ0302,7,98.57,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",0,806,0,3,0,,respondida,revisao_manual,aprovada,57.17,0
CON00077,PED006937,2025-01-11,CLI00671,LOJ0023,7,116.53,qualidade,A qualidade não correspondeu ao que foi anunciado.,1,1094,0,1,0,,sem resposta,autoaprovada,aprovada,43.96,0
CON00078,PED008924,2025-01-25,CLI16593,LOJ0284,7,"R$ 142,91",item_faltante,Não recebi todos os itens que estavam na nota.,1,1099,0,5,0,GRP125,respondida,negada_ou_retirada,retirada,0.00,0
CON00079,PED008381,11/01/2025,CLI17857,LOJ0137,2,145.84,nao_entregue,O pedido não chegou no endereço informado.,1,2370,2,1,0,,respondida,autoaprovada,aprovada,135.20,0
CON00080,PED001303,2025-01-30,CLI11084,LOJ0266,3,87.19,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,1454,0,1,0,,respondida,revisao_manual,aprovada,64.65,0
CON00081,PED007882,2025-01-31,CLI17438,LOJ0333,2,145.68,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",1,736,0,1,0,,sem_resposta,autoaprovada,aprovada,111.26,0
