pedido_id,data_pedido,cliente_id,loja_id,cidade,categoria_loja,itens_pedido,valor_pedido,status_pedido
PED000001,07/01/2025,CLI08046,LOJ0390,SÃO PAULO,Restaurante,5,"R$ 78,32",concluido
PED000002,2025-01-10,CLI09930,LOJ0133,São Paulo,Mercado,7,87.27,concluido
PED000003,2025-01-06,CLI10079,LOJ0190,Campinas,Restaurante,7,56.98,concluido
PED000004,2025-01-07,CLI07641,LOJ0086,Santos,Restaurante,4,69.49,concluido
PED000005,2025-01-27,CLI12662,LOJ0069,Campinas,Mercado,1,190.51,concluido
PED000006,2025-01-04,CLI09792,LOJ0052,Campinas,Farmácia,1,33.95,concluido
PED000007,26/01/2025,CLI15051,LOJ0445,Campinas,Restaurante,2,51.27,concluido
PED000008,2025-01-09,CLI08774,LOJ0314,Campinas,Mercado,7,"52,96",concluido
PED000009,2025-01-15,CLI06800,LOJ0177,São Paulo,Farmácia,7,60.77,concluido
PED000010,2025-01-10,CLI10955,LOJ0114,São Paulo,Mercado,2,85.77,concluido
PED000011,2025-01-05,CLI17741,LOJ0130,Campinas,Restaurante,7,84.89,concluido
PED000012,2025-01-17,CLI04374,LOJ0414,São Paulo,Mercado,5,"R$ 77,38",concluido
PED000013,27/01/2025,CLI12309,LOJ0211,Santos,Restaurante,1,62.72,concluido
PED000014,2025-01-15,CLI04887,LOJ0340,Campinas,Mercado,3,75.89,concluido
PED000015,2025-01-03,CLI03081,LOJ0042,São Paulo,Restaurante,5,"67,87",concluido
PED000016,2025-01-02,CLI02172,LOJ0013,Santos,Restaurante,5,71.38,concluido
PED000017,2025-01-02,CLI11966,LOJ0100,Campinas,Restaurante,4,75.38,concluido
PED000018,2025-01-01,CLI02033,LOJ0241,São Paulo,Farmácia,1,92.96,concluido
PED000019,12/01/2025,CLI08373,LOJ0033,São Paulo,Restaurante,6,99.41,concluido
PED000020,2025-01-05,CLI13840,LOJ0210,SÃO PAULO,Restaurante,4,130.95,concluido
PED000021,2025-01-26,CLI11982,LOJ0223,Campinas,Pet shop,7,97.67,concluido
PED000022,2025-01-24,CLI03216,LOJ0330,Campinas,Mercado,2,"143,36",concluido
PED000023,2025-01-04,CLI13042,LOJ0346,Campinas,Farmácia,4,"R$ 123,86",concluido
PED000024,2025-01-16,CLI11365,LOJ0373,São Paulo,Mercado,1,65.85,concluido
