contestacao_id,pedido_id,data_pedido,mes,cliente_hash,loja_id,cidade,categoria_loja,motivo,relato_cliente,relato_ausente,itens_pedido,itens_contestados,percentual_itens_contestados,selecao_completa,foto_anexada,idade_conta_dias,contestacoes_60d,recorrencia_alta,evidencia_incompativel,cluster_conta,conta_relacionada,status_resposta_loja,sem_resposta_loja,rota_decisao,decisao_final,valor_pedido,valor_reembolso,valor_alto,score_regra,faixa_risco,exposicao_confirmada,exposicao_potencial
CON00007,PED003697,2025-01-01,2025-01,anon_5e6a5c8324,LOJ0359,São Paulo,Restaurante,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,2,2,1.0,1,1,752,0,0,0,,0,sem_resposta,1,autoaprovada,aprovada,106.47,90.72,0,33,alto,0,0.0
CON00020,PED006988,2025-01-01,2025-01,anon_fd059e4cca,LOJ0082,Campinas,Farmácia,qualidade,A qualidade não correspondeu ao que foi anunciado.,0,7,7,1.0,1,0,673,1,0,0,,0,respondida,0,autoaprovada,aprovada,67.56,49.06,0,25,intermediario,1,49.06
CON00039,PED001267,2025-01-01,2025-01,anon_35b405417a,LOJ0352,Santos,Mercado,produto_avariado,A embalagem chegou aberta e o produto estava avariado.,0,4,4,1.0,1,0,1388,1,0,0,,0,sem_resposta,1,negada_ou_retirada,retirada,57.54,0.0,0,41,alto,0,0.0
CON00055,PED002754,2025-01-01,2025-01,anon_73782f11b0,LOJ0269,Campinas,Mercado,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,0,7,4,0.5714285714285714,0,0,1873,1,0,0,,0,sem_resposta,1,autoaprovada,aprovada,109.25,73.69,0,16,intermediario,0,0.0
CON00062,PED000441,2025-01-01,2025-01,anon_d371469eaa,LOJ0404,Sorocaba,Restaurante,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,0,5,2,0.4,0,1,465,0,0,1,,0,sem_resposta,1,autoaprovada,aprovada,58.46,24.79,0,30,intermediario,0,0.0
CON00069,PED008277,2025-01-01,2025-01,anon_ed0959e5e2,LOJ0043,São Paulo,Mercado,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,6,2,0.3333333333333333,0,0,2107,1,0,0,,0,respondida,0,negada_ou_retirada,negada,99.5,0.0,0,0,baixo,0,0.0
CON00097,PED001643,2025-01-01,2025-01,anon_a7695e012c,LOJ0390,Campinas,Pet Shop,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,6,4,0.6666666666666666,0,0,27,2,0,0,,0,respondida,0,revisao_manual,negada,89.77,0.0,0,0,baixo,0,0.0
CON00181,PED003579,2025-01-01,2025-01,anon_b0a02f9994,LOJ0320,Campinas,Pet Shop,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,0,3,3,1.0,1,1,70,1,0,0,,0,sem_resposta,1,autoaprovada,aprovada,98.47,78.28,0,33,alto,1,78.28
CON00255,PED008352,2025-01-01,2025-01,anon_d8a41d15b5,LOJ0349,Campinas,Restaurante,nao_entregue,"Consta entrega concluída, porém nada foi recebido.",0,4,1,0.25,0,1,2308,0,0,0,,0,sem_resposta,1,autoaprovada,aprovada,50.26,24.69,0,8,baixo,0,0.0
CON00276,PED004513,2025-01-01,2025-01,anon_96660c797f,LOJ0442,São Paulo,Restaurante,nao_entregue,"Consta entrega concluída, porém nada foi recebido.",0,6,6,1.0,1,1,321,2,0,0,,0,sem_resposta,1,revisao_manual,aprovada,132.21,106.63,1,41,alto,0,0.0
CON00341,PED001898,2025-01-01,2025-01,anon_710340b5b5,LOJ0169,São Paulo,Restaurante,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,4,1,0.25,0,1,2343,1,0,0,,0,sem_resposta,1,autoaprovada,aprovada,121.81,94.44,0,8,baixo,0,0.0
CON00356,PED005248,2025-01-01,2025-01,anon_873d4ad142,LOJ0346,Campinas,Farmácia,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,3,1,0.3333333333333333,0,1,1876,1,0,1,,0,respondida,0,autoaprovada,aprovada,100.85,63.04,0,14,baixo,1,63.04
CON00384,PED009013,2025-01-01,2025-01,anon_daf7d39c8a,LOJ0327,São Paulo,Restaurante,item_faltante,Não recebi todos os itens que estavam na nota.,0,6,4,0.6666666666666666,0,1,742,1,0,1,,0,respondida,0,negada_ou_retirada,negada,68.13,0.0,0,14,baixo,0,0.0
CON00400,PED007782,2025-01-01,2025-01,anon_c9abf87cf9,LOJ0203,Campinas,Restaurante,nao_entregue,O pedido não chegou no endereço informado.,0,7,7,1.0,1,1,1357,0,0,0,,0,respondida,0,autoaprovada,aprovada,106.05,82.63,0,17,intermediario,0,0.0
CON00410,PED005285,2025-01-01,2025-01,anon_e89e3f4d79,LOJ0411,Campinas,Restaurante,qualidade,A comida chegou fria e com qualidade abaixo do esperado.,0,3,1,0.3333333333333333,0,0,1025,0,0,0,,0,respondida,0,autoaprovada,aprovada,58.03,23.67,0,0,baixo,0,0.0
CON00483,PED001276,2025-01-01,2025-01,anon_0daf795eda,LOJ0182,Santos,Restaurante,produto_avariado,A embalagem chegou aberta e o produto estava avariado.,0,2,1,0.5,0,0,1278,1,0,1,,0,respondida,0,autoaprovada,aprovada,100.36,67.94,0,22,intermediario,0,0.0
CON00499,PED009031,2025-01-01,2025-01,anon_fbac607256,LOJ0167,São Paulo,Farmácia,nao_entregue,"Consta entrega concluída, porém nada foi recebido.",0,3,2,0.6666666666666666,0,1,2380,2,0,0,,0,respondida,0,autoaprovada,aprovada,121.45,110.83,1,0,baixo,0,0.0
CON00571,PED001685,2025-01-01,2025-01,anon_a2bf29f4e5,LOJ0248,Sorocaba,Restaurante,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,2,1,0.5,0,0,2378,0,0,0,,0,respondida,0,revisao_manual,negada,47.16,0.0,0,0,baixo,0,0.0
CON00653,PED007041,2025-01-01,2025-01,anon_647db3bd18,LOJ0246,Campinas,Restaurante,qualidade,O produto estava com aparência ruim quando chegou.,0,5,5,1.0,1,1,2375,1,0,0,,0,sem_resposta,1,autoaprovada,aprovada,54.11,29.53,0,33,alto,0,0.0
CON00671,PED003240,2025-01-01,2025-01,anon_540ecf9237,LOJ0060,São Paulo,Farmácia,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",0,2,1,0.5,0,1,2394,1,0,0,,0,sem_resposta,1,negada_ou_retirada,retirada,98.86,0.0,0,8,baixo,0,0.0
