variavel,coeficiente_padronizado,odds_ratio_aproximado
Valor solicitado,0.536481490052242,1.7099796845301005
Evidência incompatível,0.4048823125424164,1.4991260613399022
Pedido completo selecionado,0.3710505587628391,1.4492563441421862
Recorrência >= 3 em 60 dias,0.33378137743728786,1.3962378611055528
Conta ligada a agrupamento,0.21850429714272807,1.2442143631823817
Loja sem resposta,0.2110133537459672,1.2349288458773824
Foto não anexada,0.13985064178422568,1.1501020088444223
% de itens contestados,0.10009539785498385,1.105276354039725
Idade da conta,0.02073607864304893,1.0209525648911302
Contestações em 60 dias,0.005547264441786499,1.0055626790028813
