grupo,termo,frequencia
exposição,faltou,197
exposição,loja,104
exposição,respondeu,104
exposição,faltou loja,104
exposição,loja respondeu,104
exposição,incompleto,93
exposição,incompleto faltou,93
exposição,qualidade,87
exposição,estavam,79
exposição,nota,79
exposição,estavam nota,79
exposição,produtos,69
legítimo,faltou,926
legítimo,loja,468
legítimo,respondeu,468
legítimo,faltou loja,468
legítimo,loja respondeu,468
legítimo,incompleto,458
legítimo,incompleto faltou,458
legítimo,estavam,422
legítimo,nota,422
legítimo,estavam nota,422
legítimo,qualidade,417
legítimo,produtos,351
